#Node1	Node2
P31749	Q9NR80
P31749	O15169
P31749	O14640
P31749	Q14397
P31749	P49841
P25054	O15169
P25054	Q9Y2T1
P25054	Q9Y297
P25054	P36544
P25054	P35222
P25054	P49841
P25054	Q13418
P25054	P14923
Q9NR80	P31749
Q9NR80	O14640
Q9NR80	Q14397
Q9NR80	P49841
P49407	O14640
P49407	O14641
P32121	O14641
P32121	Q9ULV1
O15169	P31749
O15169	P25054
O15169	Q9Y297
O15169	P19022
O15169	P48729
O15169	P35222
O15169	P98082
O15169	Q155Q3
O15169	O14640
O15169	O14641
O15169	Q92997
O15169	Q92837
O15169	P49841
O15169	O75197
O15169	O75581
O15169	P45985
O15169	Q13233
O15169	Q9Y6R4
O15169	P67775
Q9Y2T1	P25054
Q9Y2T1	P35222
Q9Y2T1	P49841
O00512	P35222
O00512	P15884
Q9Y297	P25054
Q9Y297	O15169
Q9Y297	P35222
Q9Y297	P49841
P24385	P35222
P12830	P35222
P19022	O15169
P19022	P35222
P19022	P14923
P19022	O75197
P19022	O75581
Q00534	P35222
Q9P2D1	Q9UBE8
Q9P2D1	P37231
Q9P2D1	Q15047
P36544	P25054
P48729	O15169
P48729	P35222
P48729	Q13469
P48730	O14641
P48730	Q92997
P49674	P25054
P49674	O14640
P49674	O14641
P49674	Q92997
Q13363	Q9NQB0
P56545	P15884
P35222	P25054
P35222	O15169
P35222	Q9Y2T1
P35222	O00512
P35222	Q9Y297
P35222	P24385
P35222	P12830
P35222	P19022
P35222	Q00534
P35222	P48729
P35222	P49841
P35222	P14923
P35222	Q9UJU2
P35222	Q9UBE8
P35222	Q13526
P35222	O00570
P35222	P15923
P35222	P15884
Q9Y4D1	P61586
P98082	O15169
P98082	Q92997
Q155Q3	O15169
Q155Q3	O14641
Q155Q3	P45985
Q155Q3	Q9Y6R4
Q155Q3	P63000
O94907	O75197
O94907	O75581
O94907	Q14696
O94907	P56704
O14640	P31749
O14640	Q9NR80
O14640	P49407
O14640	O15169
O14640	P49674
O14640	Q92837
O14640	Q14397
O14640	P49841
O14640	Q9BTU6
O14640	O14986
O14640	P63000
O14640	Q15797
O14641	P49407
O14641	P32121
O14641	O15169
O14641	Q155Q3
O14641	Q9ULV1
O14641	P17252
O14641	P05771
O14641	P05129
O14641	P63000
O14641	P61586
Q92997	O15169
Q92997	P98082
Q92837	O15169
Q92837	O14640
Q92837	P49841
Q92837	O75197
O75474	P49841
Q92765	P56704
Q92765	P41221
Q9UP38	Q07954
Q9UP38	O75581
Q9UP38	P04628
Q9UP38	P09544
Q9UP38	P56703
Q9UP38	P56704
Q9UP38	P56706
Q9ULW2	Q13467
Q9ULW2	O00755
Q9ULW2	P56706
Q14332	Q01974
Q14332	P56704
Q14332	P41221
Q9NPG1	P09544
Q9NPG1	P41221
Q9ULV1	P32121
Q9ULV1	O14641
Q9ULV1	O14745
Q9ULV1	P56704
Q9ULV1	P56706
Q13467	Q9ULW2
Q13467	Q01974
Q13467	P56704
Q13467	O00755
O60353	Q8N474
O60353	P56705
O75084	P56703
O75084	O00755
Q9H461	O75197
Q9H461	O75581
Q9H461	Q2MKA7
Q9H461	Q9BXY4
Q9H461	P34925
Q9H461	P04628
Q9H461	P56704
Q9H461	P41221
Q9H461	Q9H1J7
O00144	P09544
O00144	O00755
Q14397	P31749
Q14397	Q9NR80
Q14397	O14640
Q14397	P49841
P51654	P41221
P49840	O75581
P49840	Q01974
P49841	P31749
P49841	P25054
P49841	Q9NR80
P49841	O15169
P49841	Q9Y2T1
P49841	Q9Y297
P49841	P35222
P49841	O14640
P49841	Q92837
P49841	O75474
P49841	Q14397
P49841	Q13418
P49841	Q01974
Q13418	P25054
Q13418	P49841
P14923	P25054
P14923	P19022
P14923	P35222
Q9UEF7	P04628
Q9UEF7	P56703
Q9UEF7	P56705
Q9UEF7	P41221
Q96MU8	Q2MKA7
Q9UJU2	P35222
Q9UJU2	Q9UBE8
Q07954	Q9UP38
O75197	O15169
O75197	P19022
O75197	O94907
O75197	Q92837
O75197	Q9H461
O75197	P04628
O75581	O15169
O75581	P19022
O75581	O94907
O75581	Q9UP38
O75581	Q9H461
O75581	Q14696
O75581	Q2MKA7
O75581	Q9BXY4
O75581	P04628
O75581	P56704
O75581	P41221
O75581	O14905
P45985	O15169
P45985	Q155Q3
Q13233	O15169
Q9Y6R4	O15169
Q9Y6R4	Q155Q3
P45983	Q02962
Q7KZI7	Q92997
Q14696	O94907
Q14696	O75581
Q14696	P56704
Q13469	P48729
Q9UBE8	Q9P2D1
Q9UBE8	P35222
Q9UBE8	Q9UJU2
Q9UBE8	P37231
Q9UBE8	Q15047
Q9UBE8	P15884
Q9BTU6	O14640
Q9BTU6	O14986
