#Node1	Node2
Q13526	P35222
O14986	O14640
O14986	Q9BTU6
P37231	Q9P2D1
P37231	Q9UBE8
P37231	Q15047
P62136	Q9UD71
Q9UD71	P62136
P67775	O15169
P17612	Q9UD71
P17252	O14641
P05771	O14641
P05129	O14641
P63000	Q155Q3
P63000	O14640
P63000	O14641
P61586	Q9Y4D1
P61586	O14641
Q01973	P56703
Q01973	P41221
Q01974	Q14332
Q01974	Q13467
Q01974	P04628
Q01974	P09544
Q01974	P56703
Q01974	P56704
Q01974	P56705
Q01974	P41221
Q01974	Q9H1J7
Q01974	Q9Y6F9
Q01974	O00755
Q01974	P31946
Q2MKA7	Q9H461
Q2MKA7	Q96MU8
Q2MKA7	O75581
Q2MKA7	P04628
Q6UXX9	P04628
Q9BXY4	Q9H461
Q9BXY4	O75581
Q9BXY4	P04628
P34925	Q9H461
P34925	P04628
P34925	P56704
Q15047	Q9P2D1
Q15047	Q9UBE8
Q15047	P37231
Q8N474	O60353
Q8N474	P04628
Q8N474	P09544
Q8N474	P56704
Q8N474	P56705
Q8N474	P41221
Q96HF1	P56704
Q96HF1	P56705
Q96HF1	P41221
Q6FHJ7	O00755
O14745	Q9ULV1
Q15797	O14640
O00570	P35222
P15923	P35222
P15884	O00512
P15884	P56545
P15884	P35222
P15884	Q9UBE8
Q9NQB0	Q13363
Q9Y5W5	O96014
Q9Y5W5	P56704
Q9Y5W5	P56705
Q9Y5W5	P41221
Q9Y5W5	Q9H1J7
Q9Y5W5	O00755
Q9Y5W5	O14904
P04628	Q9UP38
P04628	Q9H461
P04628	Q9UEF7
P04628	O75197
P04628	O75581
P04628	Q01974
P04628	Q2MKA7
P04628	Q6UXX9
P04628	Q9BXY4
P04628	P34925
P04628	Q8N474
P04628	P09544
O96014	Q9Y5W5
O96014	P56704
O96014	P56705
O96014	P41221
O96014	Q9H1J7
O96014	O00755
O96014	O14904
P09544	Q9UP38
P09544	Q9NPG1
P09544	O00144
P09544	Q01974
P09544	Q8N474
P09544	P04628
P56703	Q9UP38
P56703	O75084
P56703	Q9UEF7
P56703	Q01973
P56703	Q01974
P56704	O94907
P56704	Q92765
P56704	Q9UP38
P56704	Q14332
P56704	Q9ULV1
P56704	Q13467
P56704	Q9H461
P56704	O75581
P56704	Q14696
P56704	Q01974
P56704	P34925
P56704	Q8N474
P56704	Q96HF1
P56704	Q9Y5W5
P56704	O96014
P56704	P56705
P56704	P41221
P56704	Q9H1J7
P56704	O00755
P56704	O14904
P56705	O60353
P56705	Q9UEF7
P56705	Q01974
P56705	Q8N474
P56705	Q96HF1
P56705	Q9Y5W5
P56705	O96014
P56705	P56704
P56705	P41221
P56705	Q9H1J7
P56705	O00755
P56705	O14904
P41221	Q92765
P41221	Q14332
P41221	Q9NPG1
P41221	Q9H461
P41221	P51654
P41221	Q9UEF7
P41221	O75581
P41221	Q01973
P41221	Q01974
P41221	Q8N474
P41221	Q96HF1
P41221	Q9Y5W5
P41221	O96014
P41221	P56704
P41221	P56705
P41221	Q9H1J7
P41221	O00755
P41221	O14904
Q9H1J7	Q9H461
Q9H1J7	Q01974
Q9H1J7	Q9Y5W5
Q9H1J7	O96014
Q9H1J7	P56704
Q9H1J7	P56705
Q9H1J7	P41221
Q9H1J7	O00755
Q9H1J7	O14904
Q9Y6F9	Q01974
O00755	Q9ULW2
O00755	Q13467
O00755	O75084
O00755	O00144
O00755	Q01974
O00755	Q6FHJ7
O00755	Q9Y5W5
O00755	O96014
O00755	P56704
O00755	P56705
O00755	P41221
O00755	Q9H1J7
O00755	O14904
P56706	Q9UP38
P56706	Q9ULW2
P56706	Q9ULV1
O14904	Q9Y5W5
O14904	O96014
O14904	P56704
O14904	P56705
O14904	P41221
O14904	Q9H1J7
O14904	O00755
O14905	O75581
