#tail	head	KSP index
Q9UJU2	P84022	161
Q9UJU2	Q15796	163
O15105	O15198	165
O15198	O75197	165
P12757	Q07954	166
Q09472	P12757	166
P15884	Q09472	166
P55036	Q9UMX0	167
P15923	P55036	167
Q9UMX0	O75084	167
P84022	P12757	169
P35222	Q09472	170
Q12778	P61981	171
P35222	Q12778	171
Q13485	O15198	172
P35222	Q13485	172
Q13485	P12757	173
P58335	O75581	174
Q15796	P58335	174
Q15796	P12757	175
P37231	Q09472	176
O43318	P12757	177
O75533	P49841	181
Q15797	O75533	181
O75533	P61981	182
P08621	P49841	183
Q15797	P08621	183
Q04721	P49841	184
Q15797	Q04721	184
Q15797	Q09472	185
Q15797	Q13485	186
Q9HAU4	P12757	188
Q15797	Q9HAU4	188
Q9NQB0	Q09472	189
P08670	P61981	194
Q13469	P08670	194
Q13526	Q99750	195
Q99750	O00144	195
Q15796	O15198	196
P37231	Q15047	197
Q15047	P12757	197
P98082	Q9HAU4	199
Q13363	P61968	200
P61968	O15198	200
Q9NYG2	Q9NRR5	201
Q15797	Q9NYG2	201
Q9NQB0	P12956	202
P12956	P12757	202
Q9P2D1	Q15047	203
O14686	O15198	205
Q15797	O14686	205
Q15797	O60315	206
O60315	O15198	206
O75533	O15198	207
P08621	O15198	208
P08621	P12757	209
P22670	O15198	210
Q15797	P22670	210
O75925	P12757	211
Q15797	O75925	211
Q5T5Y3	O15198	212
Q15797	Q5T5Y3	212
Q5T5Y3	P12757	213
Q8N2W9	P12757	214
Q15797	Q8N2W9	214
Q15797	Q8NAM6	215
Q8NAM6	O15198	215
Q9UNY4	P12757	216
Q15797	Q9UNY4	216
Q9Y2U8	O15198	217
Q15797	Q9Y2U8	217
Q9H160	P12757	218
Q15797	Q9H160	218
Q13469	P05412	219
P05412	P49841	219
O15105	O43318	220
P10275	Q03135	221
Q03135	O75581	221
P17931	P13569	222
P15884	P17931	222
P15884	Q15796	223
P15923	P10275	225
P55036	P0CG48	226
P0CG48	O75581	226
P63104	P0CG47	227
P0CG47	O75581	227
P63104	P0CG48	228
P56704	O00144	230
O94907	P56704	230
P56704	O75084	231
P56704	O75197	232
P56704	O75581	233
P56704	P34925	234
P56704	Q01974	235
P56704	Q13467	236
P56704	Q14332	237
P56704	Q9H461	238
P56704	Q9NPG1	239
P56704	Q9ULW2	240
P56704	Q9UP38	241
O94907	Q14696	242
Q14696	O75581	242
P01106	P0CG48	243
P08238	P13569	244
P35222	P08238	244
P10809	P13569	246
P35222	P10809	246
P12830	Q03135	247
P35222	P17931	248
P17844	P49841	249
P35222	P17844	249
P17844	P61981	250
P35222	P27986	251
P02741	Q15485	252
Q15485	Q07954	252
P35222	P02741	252
Q13526	O15169	256
Q15796	P62979	258
Q15796	P62987	259
Q15796	P49841	260
Q9HD26	P13569	261
P35222	Q9HD26	261
O43318	P0CG48	262
P27986	P0CG47	263
P36897	Q03135	264
P62993	P0CG47	265
P98082	P62993	265
P98082	P06241	266
P06241	Q03135	266
O43353	O43318	270
Q13469	O43353	270
P05412	P0CG48	271
Q13469	Q04206	272
Q04206	P0CG48	272
Q13501	P0CG48	274
Q15797	Q13501	274
Q13501	P62979	275
Q96RN5	P0CG48	276
Q15797	Q96RN5	276
P09874	P0CG48	277
Q9NQB0	P09874	277
Q9NQB0	Q9UER7	278
Q9UER7	P0CG48	278
P20823	P13569	283
P25054	P20823	283
P25054	Q9NR80	284
Q9NR80	P49841	284
P35222	P20823	285
P26232	P61981	286
P35222	P26232	286
P35221	P61981	287
P35222	P35221	287
Q9UI47	P61981	288
P35222	Q9UI47	288
P27348	Q9NRR5	291
P35222	P27348	291
P46934	P13569	292
Q15797	P46934	292
O94907	O15198	294
O94907	Q99750	295
P27348	O15198	296
P37231	Q9UBL3	297
Q9UBL3	O15198	297
Q96KM6	P62979	298
Q15797	Q96KM6	298
P25054	Q9ULH1	299
Q9ULH1	P0CG48	299
Q13485	P0CG47	300
Q13485	P62979	301
Q13485	P62987	302
P36897	P0CG47	303
P36897	P62979	304
P36897	P62987	305
P62979	P0CG47	306
P62979	P0CG48	307
P62979	P58335	308
P62979	P62987	309
P62987	P0CG47	310
P62987	P0CG48	311
P62987	P58335	312
P62987	P62979	313
Q9HCE7	P0CG47	317
Q15797	Q9HCE7	317
Q9HCE7	P62979	318
Q9HCE7	P62987	319
Q9NQB0	P05412	320
P63104	P61981	321
P55036	P62979	323
O15105	O14640	324
P10275	P21333	326
P15884	P14923	327
Q09472	P01106	329
P15923	Q13309	330
Q13309	P01106	330
Q9Y230	P01106	331
P15923	Q9Y230	331
P48730	O75581	332
O14640	P48730	332
P49674	O75581	333
O14640	P49674	333
O15169	O14640	334
O15169	P48729	336
O15169	P49674	337
O15169	P01106	338
O15169	O14641	339
O15169	Q92997	340
P25054	P11021	341
P11021	P13569	341
P25054	O75643	342
O75643	P61981	342
P25054	P19474	343
P19474	P61981	343
P25054	P33176	344
P33176	P61981	344
P49840	O15169	347
P49840	P49841	349
P49840	P61981	350
P49841	P01106	351
P63104	P21333	352
P05067	Q07954	353
P63104	P05067	353
Q9Y2T1	O15169	354
Q9Y2T1	P48729	356
Q9Y2T1	P49840	357
P00519	P21333	368
O00213	Q07954	369
P00519	O00213	369
P00519	P05067	370
Q13315	Q01974	371
P00519	Q13315	371
P01106	Q9Y4X0	372
P17252	O14641	374
P35222	P17252	374
O14920	P21333	375
P35222	O14920	375
P31749	O14640	376
P35221	P19022	378
P45983	P05067	380
P35222	P45983	380
P45983	P61981	381
P48729	P49840	382
P48729	P49841	384
P48729	P61981	385
P84022	O14640	392
P84022	P01106	394
P84022	P05121	395
P05121	Q07954	395
Q13485	O14640	397
P41221	O00144	399
Q13485	P41221	399
Q13485	P05121	400
P41221	O75084	401
P41221	O75197	402
P41221	O75581	403
P41221	Q01973	404
P41221	Q01974	405
P41221	Q13467	406
P41221	Q14332	407
P41221	Q9H461	408
P41221	Q9NPG1	409
P41221	Q9ULW2	410
P41221	Q9UP38	411
Q13547	P01106	412
P35222	Q13547	412
Q15796	O14640	413
Q15796	P01106	415
Q92729	P19022	416
P35222	Q92729	416
Q9NZI8	P49841	418
P35222	Q9NZI8	418
P35222	Q9Y230	419
O95425	P13569	425
P37231	O95425	425
P37231	P51532	426
P51532	P01106	426
P37231	P56524	427
P56524	P61981	427
P06241	P21333	436
P27986	P21333	437
P62993	O94907	438
P62993	P78352	440
P78352	O75084	440
P62993	P21333	441
P62993	P05067	442
P78352	Q14332	443
P78352	Q9UP38	444
P98082	Q13526	449
Q13363	P38398	453
P38398	P01106	453
P38398	Q13315	454
P38398	Q9H6X2	455
Q9H6X2	O75581	455
Q13363	Q13547	456
P01375	P01023	457
Q13469	P01375	457
P01023	Q07954	457
P60568	P01023	462
Q13469	P60568	462
Q04206	P41221	463
Q04206	P01106	464
Q13469	Q13526	476
P46531	P04628	480
P04628	O00144	480
Q15797	P46531	480
P04628	O75084	481
P04628	O75197	482
P04628	O75581	483
P04628	P34925	484
P04628	Q01974	485
P04628	Q13467	486
P04628	Q14332	487
P04628	Q9H461	488
P04628	Q9NPG1	489
P04628	Q9ULW2	490
P04628	Q9UP38	491
P46531	P49841	492
Q01844	P49841	493
Q15797	Q01844	493
